model,split,kind,n,fraud_count,prevalence,threshold,precision,recall,f1,roc_auc,average_precision,pr_auc,tn,fp,fn,tp,alert_count,alert_rate,selected
Logistic Regression (unweighted),validation,supervised,1000,108,0.108,0.15906131809580412,0.38271604938271603,0.5740740740740741,0.45925925925925926,0.8257660687593422,0.3946805450491883,0.390491929753051,792,100,46,62,162,0.162,True
Decision Tree (unweighted),validation,supervised,1000,108,0.108,0.1453287197231834,0.2996742671009772,0.8518518518518519,0.4433734939759036,0.8339198222886562,0.33538768836365196,0.3532000795827265,677,215,16,92,307,0.307,False
Random Forest (unweighted),validation,supervised,1000,108,0.108,0.15120787173622044,0.3225806451612903,0.7407407407407407,0.449438202247191,0.8368003653878093,0.38475593861250756,0.38040013345748225,724,168,28,80,248,0.248,False
Histogram Gradient Boosting (unweighted),validation,supervised,1000,108,0.108,0.09877075264945498,0.3028169014084507,0.7962962962962963,0.4387755102040816,0.827001328682943,0.32345375451559155,0.3163302301367033,694,198,22,86,284,0.284,False
Logistic Regression (balanced),validation,supervised,1000,108,0.108,0.6675413448768961,0.36054421768707484,0.49074074074074076,0.41568627450980394,0.8205239993356586,0.38408497190323393,0.37989537770552473,798,94,55,53,147,0.147,False
Decision Tree (balanced),validation,supervised,1000,108,0.108,0.6135842475265652,0.288961038961039,0.8240740740740741,0.42788461538461536,0.8226260172728782,0.33324596077281676,0.359055204795793,673,219,19,89,308,0.308,False
Random Forest (balanced),validation,supervised,1000,108,0.108,0.45329518944115516,0.31654676258992803,0.8148148148148148,0.45595854922279794,0.8453952831755522,0.38396123680741556,0.37658048474225664,702,190,20,88,278,0.278,False
Histogram Gradient Boosting (balanced),validation,supervised,1000,108,0.108,0.5313087141174111,0.32905982905982906,0.7129629629629629,0.4502923976608187,0.8297521175884405,0.34102952633239497,0.3346351833818888,735,157,31,77,234,0.234,False
Logistic Regression (unweighted),test,supervised,1000,88,0.088,0.15906131809580412,0.27848101265822783,0.5,0.35772357723577236,0.8018839712918661,0.31566086158259576,0.3119473378004926,798,114,44,44,158,0.158,True
Decision Tree (unweighted),test,supervised,1000,88,0.088,0.1453287197231834,0.24742268041237114,0.8181818181818182,0.37994722955145116,0.8221690590111643,0.27971574718780623,0.30576733462028527,693,219,16,72,291,0.291,False
Random Forest (unweighted),test,supervised,1000,88,0.088,0.15120787173622044,0.2564102564102564,0.6818181818181818,0.37267080745341613,0.824773225677831,0.3125794356684028,0.3067719396642079,738,174,28,60,234,0.234,False
Histogram Gradient Boosting (unweighted),test,supervised,1000,88,0.088,0.09877075264945498,0.2357142857142857,0.75,0.358695652173913,0.814755283094099,0.2654691587206487,0.25925702272915907,698,214,22,66,280,0.28,False
Logistic Regression (balanced),test,supervised,1000,88,0.088,0.6675413448768961,0.3014705882352941,0.4659090909090909,0.36607142857142855,0.7971989633173844,0.3093890616932237,0.3055867237499722,817,95,47,41,136,0.136,False
Decision Tree (balanced),test,supervised,1000,88,0.088,0.6135842475265652,0.2516778523489933,0.8522727272727273,0.38860103626943004,0.8245614035087719,0.27783841522121,0.3056139868464071,689,223,13,75,298,0.298,False
Random Forest (balanced),test,supervised,1000,88,0.088,0.45329518944115516,0.25193798449612403,0.7386363636363636,0.37572254335260113,0.823925937001595,0.31496285193366724,0.31015742342549996,719,193,23,65,258,0.258,False
Histogram Gradient Boosting (balanced),test,supervised,1000,88,0.088,0.5313087141174111,0.2324561403508772,0.6022727272727273,0.33544303797468356,0.8037903708133971,0.2816009708393086,0.2771162713725441,737,175,35,53,228,0.228,False
Dummy prior / no fraud alerts,validation,baseline,1000,108,0.108,0.5,0.0,0.0,0.0,0.5,0.108,0.554,892,0,108,0,0,0.0,False
Isolation Forest,validation,unsupervised,1000,108,0.108,0.5172160391723437,0.3523809523809524,0.3425925925925926,0.3474178403755869,0.6611339478491944,0.23081522560003087,0.22506196048363725,824,68,71,37,105,0.105,False
Dummy prior / no fraud alerts,test,baseline,1000,88,0.088,0.5,0.0,0.0,0.0,0.5,0.088,0.544,912,0,88,0,0,0.0,False
Isolation Forest,test,unsupervised,1000,88,0.088,0.5172160391723437,0.29591836734693877,0.32954545454545453,0.3118279569892473,0.6600129585326954,0.22025670358652877,0.2160165943545152,843,69,59,29,98,0.098,False
