model,curve,x,y
Logistic Regression (unweighted),ROC,0.0,0.0
Logistic Regression (unweighted),ROC,0.0,0.011363636363636364
Logistic Regression (unweighted),ROC,0.0,0.045454545454545456
Logistic Regression (unweighted),ROC,0.0010964912280701754,0.045454545454545456
Logistic Regression (unweighted),ROC,0.0010964912280701754,0.056818181818181816
Logistic Regression (unweighted),ROC,0.007675438596491228,0.056818181818181816
Logistic Regression (unweighted),ROC,0.007675438596491228,0.09090909090909091
Logistic Regression (unweighted),ROC,0.01206140350877193,0.09090909090909091
Logistic Regression (unweighted),ROC,0.01206140350877193,0.11363636363636363
Logistic Regression (unweighted),ROC,0.015350877192982455,0.11363636363636363
Logistic Regression (unweighted),ROC,0.015350877192982455,0.125
Logistic Regression (unweighted),ROC,0.01644736842105263,0.125
Logistic Regression (unweighted),ROC,0.01644736842105263,0.14772727272727273
Logistic Regression (unweighted),ROC,0.017543859649122806,0.14772727272727273
Logistic Regression (unweighted),ROC,0.017543859649122806,0.1590909090909091
Logistic Regression (unweighted),ROC,0.025219298245614034,0.1590909090909091
Logistic Regression (unweighted),ROC,0.025219298245614034,0.17045454545454544
Logistic Regression (unweighted),ROC,0.02850877192982456,0.17045454545454544
Logistic Regression (unweighted),ROC,0.02850877192982456,0.18181818181818182
Logistic Regression (unweighted),ROC,0.029605263157894735,0.18181818181818182
Logistic Regression (unweighted),ROC,0.029605263157894735,0.19318181818181818
Logistic Regression (unweighted),ROC,0.04057017543859649,0.19318181818181818
Logistic Regression (unweighted),ROC,0.04057017543859649,0.20454545454545456
Logistic Regression (unweighted),ROC,0.041666666666666664,0.20454545454545456
Logistic Regression (unweighted),ROC,0.041666666666666664,0.2159090909090909
Logistic Regression (unweighted),ROC,0.049342105263157895,0.2159090909090909
Logistic Regression (unweighted),ROC,0.049342105263157895,0.22727272727272727
Logistic Regression (unweighted),ROC,0.05043859649122807,0.22727272727272727
Logistic Regression (unweighted),ROC,0.05043859649122807,0.23863636363636365
Logistic Regression (unweighted),ROC,0.051535087719298246,0.23863636363636365
Logistic Regression (unweighted),ROC,0.051535087719298246,0.25
Logistic Regression (unweighted),ROC,0.0537280701754386,0.25
Logistic Regression (unweighted),ROC,0.0537280701754386,0.29545454545454547
Logistic Regression (unweighted),ROC,0.05482456140350877,0.29545454545454547
Logistic Regression (unweighted),ROC,0.05482456140350877,0.3068181818181818
Logistic Regression (unweighted),ROC,0.0581140350877193,0.3068181818181818
Logistic Regression (unweighted),ROC,0.0581140350877193,0.3181818181818182
Logistic Regression (unweighted),ROC,0.05921052631578947,0.3181818181818182
Logistic Regression (unweighted),ROC,0.05921052631578947,0.32954545454545453
Logistic Regression (unweighted),ROC,0.06140350877192982,0.32954545454545453
Logistic Regression (unweighted),ROC,0.06140350877192982,0.3409090909090909
Logistic Regression (unweighted),ROC,0.06469298245614036,0.3409090909090909
Logistic Regression (unweighted),ROC,0.06469298245614036,0.3522727272727273
Logistic Regression (unweighted),ROC,0.07017543859649122,0.3522727272727273
Logistic Regression (unweighted),ROC,0.07017543859649122,0.36363636363636365
Logistic Regression (unweighted),ROC,0.0712719298245614,0.36363636363636365
Logistic Regression (unweighted),ROC,0.0712719298245614,0.38636363636363635
Logistic Regression (unweighted),ROC,0.0800438596491228,0.38636363636363635
Logistic Regression (unweighted),ROC,0.0800438596491228,0.3977272727272727
Logistic Regression (unweighted),ROC,0.08223684210526316,0.3977272727272727
Logistic Regression (unweighted),ROC,0.08223684210526316,0.4090909090909091
