Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,Fraud_Score,Predicted_Fraud,Anomaly_Score,Anomaly_Flag,Review_Status,Split,Score_Context
T103438,CUST3131,2023-01-01 02:16:00,210.69,Grocery,PayPal,Desktop,Hyderabad,0,69,450.9,1824,Yes,0,0.16860321568051895,1,0.5169062483616531,0,Model review,train,in-sample
T104159,CUST6885,2023-01-01 05:46:00,66.73,Entertainment,Debit Card,Desktop,Hyderabad,1,50,421.59,79,No,0,0.580359291734377,1,0.5285094655360185,1,Model review,train,in-sample
T102971,CUST1470,2023-01-01 09:06:00,14.24,Utilities,Debit Card,POS,Pune,0,82,472.06,790,No,0,0.03520647295461594,0,0.4970016357046317,0,Lower score,train,in-sample
T102322,CUST6619,2023-01-01 11:34:00,74.9,Fashion,Debit Card,Desktop,Hyderabad,0,152,236.3,388,Yes,0,0.02462622872529416,0,0.49314780670055747,0,Lower score,train,in-sample
T104734,CUST6625,2023-01-01 11:41:00,45.04,Grocery,NetBanking,POS,Chennai,0,76,173.08,1300,No,0,0.019693064215711334,0,0.4895712364225802,0,Lower score,train,in-sample
T103896,CUST2862,2023-01-01 11:51:00,12.67,Travel,Credit Card,Mobile,Hyderabad,0,93,464.75,634,No,0,0.018279070977860908,0,0.4953895700895001,0,Lower score,train,in-sample
T100514,CUST1837,2023-01-01 12:08:00,3.7,Entertainment,Credit Card,POS,Mumbai,0,182,187.62,1260,No,0,0.020606780388047474,0,0.5072489287934469,0,Lower score,train,in-sample
T101258,CUST7931,2023-01-01 14:42:00,5.31,Entertainment,PayPal,Desktop,Hyderabad,0,186,305.9,1336,No,0,0.011972676754522993,0,0.5167953055058769,0,Lower score,train,in-sample
T102688,CUST6543,2023-01-01 18:05:00,54.32,Fashion,PayPal,Desktop,Hyderabad,0,178,47.71,671,No,0,0.02280824588123123,0,0.49736604985679533,0,Lower score,train,in-sample
T101230,CUST5189,2023-01-01 18:56:00,179.62,Health,UPI,Mobile,Bengaluru,0,46,264.55,287,No,0,0.03606400938841713,0,0.5075991830303175,0,Lower score,train,in-sample
T102855,CUST6624,2023-01-01 19:42:00,56.41,Electronics,NetBanking,POS,Bengaluru,0,24,473.53,491,No,0,0.02883044586242334,0,0.4899412511593135,0,Lower score,train,in-sample
T100508,CUST4133,2023-01-01 22:32:00,239.34,Electronics,Debit Card,Desktop,Hyderabad,0,4,332.15,211,No,0,0.08156567204127747,0,0.5205584907135129,1,Anomaly review,train,in-sample
