Transaction_ID,Customer_ID,Transaction_Date,Fraudulent,Split
T103438,CUST3131,2023-01-01 02:16:00,0,train
T104159,CUST6885,2023-01-01 05:46:00,0,train
T102971,CUST1470,2023-01-01 09:06:00,0,train
T102322,CUST6619,2023-01-01 11:34:00,0,train
T104734,CUST6625,2023-01-01 11:41:00,0,train
T103896,CUST2862,2023-01-01 11:51:00,0,train
T100514,CUST1837,2023-01-01 12:08:00,0,train
T101258,CUST7931,2023-01-01 14:42:00,0,train
T102688,CUST6543,2023-01-01 18:05:00,0,train
T101230,CUST5189,2023-01-01 18:56:00,0,train
T102855,CUST6624,2023-01-01 19:42:00,0,train
T100508,CUST4133,2023-01-01 22:32:00,0,train
T101738,CUST8012,2023-01-02 01:07:00,0,train
T100012,CUST3603,2023-01-02 04:32:00,0,train
T100819,CUST3018,2023-01-02 07:17:00,0,train
T104985,CUST1221,2023-01-02 14:09:00,0,train
T101255,CUST2412,2023-01-02 14:12:00,0,train
T102682,CUST5535,2023-01-02 22:53:00,0,train
T103562,CUST2028,2023-01-03 00:44:00,1,train
T102712,CUST4333,2023-01-03 01:03:00,1,train
T102790,CUST4041,2023-01-03 02:52:00,0,train
T101486,CUST8736,2023-01-03 05:22:00,0,train
T101966,CUST2644,2023-01-03 06:29:00,0,train
T100021,CUST6465,2023-01-03 07:09:00,0,train
T100982,CUST1426,2023-01-03 07:11:00,0,train
T103552,CUST2599,2023-01-03 07:52:00,0,train
T101285,CUST3717,2023-01-03 12:08:00,0,train
T103035,CUST7786,2023-01-03 12:59:00,0,train
T101418,CUST6112,2023-01-03 13:44:00,0,train
T100297,CUST1019,2023-01-03 15:07:00,0,train
T102415,CUST5637,2023-01-03 16:34:00,1,train
T101485,CUST7997,2023-01-03 18:17:00,0,train
T100364,CUST2304,2023-01-03 20:05:00,0,train
T101795,CUST9219,2023-01-03 20:33:00,0,train
T101215,CUST3778,2023-01-03 22:03:00,0,train
T103779,CUST7470,2023-01-04 00:49:00,0,train
T100339,CUST2853,2023-01-04 01:15:00,0,train
T101495,CUST9221,2023-01-04 01:17:00,0,train
T102384,CUST6370,2023-01-04 02:26:00,1,train
T102881,CUST5996,2023-01-04 06:30:00,0,train
T103919,CUST4508,2023-01-04 06:38:00,0,train
T102491,CUST1425,2023-01-04 06:57:00,0,train
T103540,CUST8435,2023-01-04 08:53:00,0,train
